Num	Time
1	0.002522
2	0.002281
3	0.011885
4	0.015998
5	0.017856
6	0.007040
7	0.002946
8	0.002437
9	0.054401
10	0.009826
1	0.000599
2	0.023786
3	0.018593
4	0.018589
5	0.006665
6	0.017792
7	0.003320
8	0.002275
9	0.050450
10	0.010129
1	0.010510
2	0.021894
3	0.010492
4	0.018486
5	0.018557
6	0.010719
7	0.002726
8	0.006298
9	0.046459
10	0.029017
1	0.007218
2	0.021904
3	0.018464
4	0.011442
5	0.021439
6	0.018447
7	0.002759
8	0.002427
9	0.034962
10	0.054073
1	0.005754
2	0.017887
3	0.007045
4	0.014171
5	0.016552
6	0.007461
7	0.026709
8	0.003362
9	0.026342
10	0.014789
1	0.001824
2	0.010292
3	0.022212
4	0.018636
5	0.026316
6	0.022550
7	0.002660
8	0.002462
9	0.022386
10	0.023694
1	0.000620
2	0.014004
3	0.014822
4	0.018329
5	0.014794
6	0.018407
7	0.010655
8	0.002331
9	0.050396
10	0.025344
1	0.003250
2	0.018374
3	0.025912
4	0.013427
5	0.023720
6	0.002826
7	0.002659
8	0.002485
9	0.050450
10	0.021119
1	0.003178
2	0.017881
3	0.008053
4	0.020308
5	0.007511
6	0.010347
7	0.010482
8	0.002499
9	0.042362
10	0.010024
1	0.010615
2	0.013871
3	0.015017
4	0.017990
5	0.030542
6	0.006836
7	0.002626
8	0.002526
9	0.027593
10	0.023686
1	0.003484
2	0.014080
3	0.018371
4	0.010646
5	0.022443
6	0.026580
7	0.002540
8	0.002488
9	0.042394
10	0.010116
1	0.010535
2	0.023761
3	0.008894
4	0.014189
5	0.006940
6	0.010434
7	0.002749
8	0.002415
9	0.030976
10	0.009582
1	0.006434
2	0.021681
3	0.012031
4	0.029110
5	0.032777
6	0.020127
7	0.002702
8	0.002399
9	0.034382
10	0.014102
1	0.006479
2	0.017904
3	0.013343
4	0.019477
5	0.006882
6	0.006536
7	0.002607
8	0.002517
9	0.042457
10	0.025061
1	0.003232
2	0.025918
3	0.014435
4	0.014573
5	0.017938
6	0.003632
7	0.002227
8	0.006393
9	0.042402
10	0.017303
1	0.003358
2	0.021936
3	0.018587
4	0.018318
5	0.006922
6	0.002617
7	0.006538
8	0.002460
9	0.018973
10	0.024779
1	0.000607
2	0.020286
3	0.006973
4	0.022255
5	0.009439
6	0.016039
7	0.002647
8	0.010708
9	0.013933
10	0.009967
1	0.010343
2	0.018217
3	0.022508
4	0.034618
5	0.021601
6	0.011674
7	0.002713
8	0.001870
9	0.046882
10	0.020726
1	0.003205
2	0.025932
3	0.014588
4	0.022606
5	0.022554
6	0.002947
7	0.002248
8	0.006479
9	0.042368
10	0.010801
1	0.001821
2	0.017978
3	0.022450
4	0.014203
5	0.006750
6	0.010330
7	0.002817
8	0.002406
9	0.012065
10	0.008453
1	0.002520
2	0.027299
3	0.013429
4	0.014163
5	0.006835
6	0.010531
7	0.010568
8	0.002650
9	0.023494
10	0.026698
1	0.000609
2	0.021807
3	0.017453
4	0.019662
5	0.014876
6	0.006381
7	0.006167
8	0.002505
9	0.011999
10	0.008442
1	0.000620
2	0.027826
3	0.018594
4	0.027167
5	0.029568
6	0.015068
7	0.006610
8	0.002489
9	0.030373
10	0.032454
1	0.003817
2	0.013936
3	0.018519
4	0.018511
5	0.010830
6	0.022526
7	0.002497
8	0.002379
9	0.022392
10	0.010080
1	0.002519
2	0.021887
3	0.018507
4	0.030572
5	0.018335
6	0.002795
7	0.025211
8	0.003546
9	0.043428
10	0.028062
1	0.007213
2	0.021952
3	0.016651
4	0.012553
5	0.015574
6	0.001719
7	0.002944
8	0.002075
9	0.038378
10	0.009814
1	0.000647
2	0.015937
3	0.002945
4	0.019180
5	0.012857
6	0.006618
7	0.003476
8	0.002207
9	0.038409
10	0.050812
1	0.001534
2	0.011868
3	0.013332
4	0.017771
5	0.006898
6	0.002648
7	0.006540
8	0.000499
9	0.044825
10	0.053739
1	0.008091
2	0.020168
3	0.010148
4	0.012378
5	0.008330
6	0.005240
7	0.004011
8	0.005890
9	0.047007
10	0.054694
1	0.005277
2	0.020237
3	0.009401
4	0.019718
5	0.013427
6	0.014037
7	0.001379
8	0.004378
9	0.022194
10	0.044702
1	0.000744
2	0.012666
3	0.020592
4	0.010761
5	0.013014
6	0.003929
7	0.009113
8	0.003300
9	0.026341
10	0.053608
1	0.005490
2	0.012403
3	0.011483
4	0.021012
5	0.005037
6	0.012854
7	0.001376
8	0.001426
9	0.034580
10	0.034439
1	0.002091
2	0.012878
3	0.013565
4	0.032498
5	0.004772
6	0.004111
7	0.006981
8	0.005897
9	0.034260
10	0.029323
1	0.013292
2	0.023510
3	0.006889
4	0.018688
5	0.017501
6	0.004924
7	0.000842
8	0.006442
9	0.038332
10	0.037000
1	0.003270
2	0.014015
3	0.018455
4	0.011986
5	0.016866
6	0.002750
7	0.006579
8	0.003753
9	0.033005
10	0.010706
1	0.001657
2	0.033847
3	0.014245
4	0.015581
5	0.005895
6	0.005317
7	0.012245
8	0.004391
9	0.035826
10	0.026305
1	0.001930
2	0.014532
3	0.012981
4	0.011832
5	0.014220
6	0.021674
7	0.008772
8	0.001007
9	0.034406
10	0.021302
1	0.005704
2	0.023503
3	0.015915
4	0.012551
5	0.006984
6	0.006497
7	0.002708
8	0.002414
9	0.018411
10	0.058614
1	0.001692
2	0.015979
3	0.012898
4	0.014552
5	0.006407
6	0.002883
7	0.012372
8	0.004106
9	0.034347
10	0.032026
1	0.004451
2	0.015176
3	0.017006
4	0.015112
5	0.011259
6	0.006057
7	0.009673
8	0.000885
9	0.027647
10	0.020176
1	0.000614
2	0.013857
3	0.021427
4	0.015246
5	0.016981
6	0.004579
7	0.002571
8	0.001338
9	0.033487
10	0.055129
1	0.003231
2	0.009619
3	0.019345
4	0.017037
5	0.023348
6	0.015019
7	0.005644
8	0.002883
9	0.018344
10	0.042730
1	0.000607
2	0.016410
3	0.021725
4	0.013843
5	0.014517
6	0.008963
7	0.008173
8	0.002048
9	0.030951
10	0.050574
1	0.001825
2	0.009900
3	0.006989
4	0.022233
5	0.007457
6	0.002014
7	0.010547
8	0.001933
9	0.038319
10	0.029217
1	0.003334
2	0.015288
3	0.010132
4	0.014077
5	0.019445
6	0.001145
7	0.002643
8	0.002374
9	0.022385
10	0.035343
1	0.000607
2	0.010545
3	0.019343
4	0.013593
5	0.009873
6	0.005379
7	0.000699
8	0.004393
9	0.019338
10	0.035764
1	0.009403
2	0.019355
3	0.011904
4	0.016745
5	0.015087
6	0.001636
7	0.002509
8	0.002413
9	0.057472
10	0.034043
1	0.000605
2	0.036475
3	0.010312
4	0.014499
5	0.018390
6	0.014234
7	0.006326
8	0.003029
9	0.038360
10	0.048520
1	0.000673
2	0.012833
3	0.010899
4	0.013440
5	0.012624
6	0.021462
7	0.009597
8	0.003218
9	0.042405
10	0.031505
1	0.000998
2	0.011354
3	0.021619
4	0.013765
5	0.010089
6	0.006840
7	0.018515
8	0.002653
9	0.034355
10	0.027324
1	0.015378
2	0.010389
3	0.014552
4	0.014416
5	0.012608
6	0.008341
7	0.002796
8	0.002378
9	0.038446
10	0.024259
1	0.004257
2	0.013936
3	0.058398
4	0.008942
5	0.011516
6	0.059094
7	0.034052
8	0.006293
9	0.029890
10	0.050407
1	0.005244
2	0.005045
3	0.015315
4	0.015485
5	0.011101
6	0.005845
7	0.007774
8	0.002673
9	0.032077
10	0.036145
1	0.004146
2	0.011577
3	0.018459
4	0.007034
5	0.017085
6	0.007274
7	0.002479
8	0.002975
9	0.032799
10	0.121642
1	0.006826
2	0.025158
3	0.016943
4	0.016432
5	0.021234
6	0.014693
7	0.004248
8	0.001119
9	0.046574
10	0.037873
1	0.003362
2	0.018556
3	0.014150
4	0.018520
5	0.014190
6	0.002817
7	0.003291
8	0.001529
9	0.034941
10	0.016446
1	0.000604
2	0.009037
3	0.010511
4	0.018145
5	0.008849
6	0.012380
7	0.002476
8	0.002407
9	0.030409
10	0.042561
1	0.005254
2	0.014546
3	0.016439
4	0.012953
5	0.006662
6	0.006332
7	0.009442
8	0.002965
9	0.030397
10	0.055384
1	0.008739
2	0.021361
3	0.010827
4	0.012924
5	0.013429
6	0.016752
7	0.013059
8	0.003339
9	0.030378
10	0.026254
1	0.000608
2	0.052355
3	0.004979
4	0.018485
5	0.016740
6	0.006559
7	0.006584
8	0.006046
9	0.046405
10	0.042482
1	0.002063
2	0.009439
3	0.018333
4	0.016530
5	0.011776
6	0.005423
7	0.004423
8	0.002183
9	0.032346
10	0.049552
1	0.000616
2	0.006990
3	0.010050
4	0.014595
5	0.004323
6	0.002760
7	0.007195
8	0.003489
9	0.027904
10	0.034915
1	0.003870
2	0.017865
3	0.010919
4	0.015295
5	0.009710
6	0.002531
7	0.002710
8	0.005761
9	0.034273
10	0.025070
1	0.006203
2	0.012847
3	0.015073
4	0.010689
5	0.016120
6	0.009114
7	0.004296
8	0.006063
9	0.046392
10	0.031662
1	0.012331
2	0.025726
3	0.011320
4	0.013998
5	0.006764
6	0.006361
7	0.005531
8	0.003672
9	0.038348
10	0.030319
1	0.001947
2	0.014439
3	0.013823
4	0.018742
5	0.014329
6	0.002891
7	0.002422
8	0.002291
9	0.034463
10	0.023645
1	0.001021
2	0.025076
3	0.018481
4	0.014484
5	0.007491
6	0.002499
7	0.005037
8	0.008089
9	0.026388
10	0.050936
1	0.002301
2	0.005712
3	0.017064
4	0.013607
5	0.015490
6	0.010373
7	0.002834
8	0.006446
9	0.034437
10	0.021766
1	0.003992
2	0.008017
3	0.011457
4	0.015515
5	0.005508
6	0.023460
7	0.001307
8	0.002209
9	0.012051
10	0.038133
1	0.000699
2	0.010767
3	0.010556
4	0.019341
5	0.012712
6	0.005600
7	0.011652
8	0.001174
9	0.019528
10	0.021294
1	0.007839
2	0.014096
3	0.013001
4	0.014581
5	0.008485
6	0.008334
7	0.002514
8	0.002464
9	0.021989
10	0.054928
1	0.001672
2	0.014598
3	0.009694
4	0.009728
5	0.003882
6	0.006112
7	0.002913
8	0.009459
9	0.039184
10	0.032380
1	0.000604
2	0.009962
3	0.026023
4	0.017271
5	0.008496
6	0.005534
7	0.002562
8	0.002621
9	0.034399
10	0.042562
1	0.003737
2	0.017282
3	0.008570
4	0.006473
5	0.008229
6	0.004419
7	0.003339
8	0.006273
9	0.029197
10	0.051019
1	0.001689
2	0.002511
3	0.013343
4	0.018951
5	0.007047
6	0.014351
7	0.002475
8	0.002227
9	0.042417
10	0.009536
1	0.001482
2	0.012945
3	0.021146
4	0.014278
5	0.014541
6	0.028094
7	0.116915
8	0.228886
9	0.041089
10	0.051985
1	0.006452
2	0.012804
3	0.002912
4	0.014389
5	0.031979
6	0.001568
7	0.018673
8	0.010233
9	0.049407
10	0.083390
1	0.005157
2	0.011912
3	0.017498
4	0.014372
5	0.010707
6	0.025850
7	0.002264
8	0.002338
9	0.012100
10	0.033657
1	0.006582
2	0.018931
3	0.048308
4	0.008120
5	0.015935
6	0.002218
7	0.002619
8	0.001275
9	0.059236
10	0.061631
1	0.001190
2	0.017804
3	0.023589
4	0.013264
5	0.013460
6	0.003505
7	0.009531
8	0.002415
9	0.046408
10	0.057456
1	0.005850
2	0.025779
3	0.010676
4	0.015377
5	0.014869
6	0.007727
7	0.019672
8	0.005400
9	0.036970
10	0.027366
1	0.000637
2	0.025914
3	0.013002
4	0.015943
5	0.013964
6	0.005037
7	0.000611
8	0.012892
9	0.034700
10	0.027126
1	0.001154
2	0.019545
3	0.011506
4	0.014773
5	0.004086
6	0.020100
7	0.003604
8	0.001235
9	0.034368
10	0.070257
1	0.000614
2	0.031816
3	0.019409
4	0.020225
5	0.027673
6	0.005541
7	0.021127
8	0.006441
9	0.057973
10	0.053729
1	0.001754
2	0.013242
3	0.012608
4	0.036086
5	0.017372
6	0.005812
7	0.005267
8	0.001473
9	0.042412
10	0.062413
1	0.001374
2	0.017185
3	0.014832
4	0.010598
5	0.024276
6	0.005633
7	0.003704
8	0.005608
9	0.050416
10	0.041817
1	0.000623
2	0.022512
3	0.008342
4	0.009622
5	0.016431
6	0.006500
7	0.008386
8	0.004412
9	0.046264
10	0.048344
1	0.003316
2	0.013435
3	0.010375
4	0.027600
5	0.002209
6	0.009742
7	0.002258
8	0.001942
9	0.036368
10	0.048355
1	0.004034
2	0.011279
3	0.020971
4	0.013621
5	0.019911
6	0.017174
7	0.003363
8	0.001275
9	0.026954
10	0.033539
1	0.001834
2	0.018631
3	0.027405
4	0.009336
5	0.008169
6	0.003709
7	0.014617
8	0.005139
9	0.016332
10	0.030178
1	0.004783
2	0.004703
3	0.015319
4	0.013000
5	0.006681
6	0.002588
7	0.006357
8	0.002311
9	0.035823
10	0.049507
1	0.009104
2	0.013880
3	0.011542
4	0.017806
5	0.003326
6	0.005311
7	0.010677
8	0.002521
9	0.026340
10	0.016504
1	0.000647
2	0.029134
3	0.019927
4	0.025187
5	0.006861
6	0.005854
7	0.033444
8	0.060479
9	0.055062
10	0.023491
1	0.010290
2	0.011168
3	0.022381
4	0.017032
5	0.007979
6	0.012958
7	0.004857
8	0.000615
9	0.016156
10	0.042223
1	0.004122
2	0.021300
3	0.046189
4	0.005521
5	0.013487
6	0.009451
7	0.003786
8	0.001071
9	0.039828
10	0.050390
1	0.005799
2	0.024745
3	0.007566
4	0.015691
5	0.012637
6	0.012257
7	0.005466
8	0.002346
9	0.076228
10	0.129698
1	0.027890
2	0.014471
3	0.014258
4	0.025508
5	0.013822
6	0.015925
7	0.008253
8	0.004122
9	0.027649
10	0.048453
1	0.004448
2	0.007826
3	0.011233
4	0.011047
5	0.009450
6	0.003004
7	0.002475
8	0.002357
9	0.034538
10	0.050300
1	0.001577
2	0.017368
3	0.007514
4	0.014162
5	0.010887
6	0.002528
7	0.002284
8	0.002290
9	0.022429
10	0.022581
1	0.008271
2	0.014357
3	0.046513
4	0.026643
5	0.012692
6	0.005619
7	0.031326
8	0.005307
9	0.033484
10	0.079749
